ambiguity_bucket,arm,failed_tool_calls,file_hit,first_gold_event_seq,first_gold_llm_calls,first_gold_tokens,first_gold_tool_calls,function_hit,gold_candidate_rank,gold_definition_in_candidates,gold_files,index_candidate_count,instance_id,issue_identifier_count,line_hit,locator_llm_calls,max_line_iou,name_eligible,predicted_locations,recall_at_1,recall_at_3,recall_at_5,reflection_turns,run_id,termination_reason,token_usage_incomplete,tool_calls,total_tokens,trajectory_path,wall_clock_ms
1,baseline,0,0,37,12,55892,11,0,,False,['astropy/modeling/separable.py'],1910,astropy__astropy-12907,43,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-12907-baseline-cde57d1ee5,budget_exhausted,False,12,55892,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/astropy__astropy-12907/0/trajectory.jsonl,54224.22
1,n2d,0,0,37,12,56170,11,0,,False,['astropy/modeling/separable.py'],1910,astropy__astropy-12907,43,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-12907-n2d-1b5cb9b38c,budget_exhausted,False,12,56170,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/astropy__astropy-12907/0/trajectory.jsonl,50254.693
1,baseline,0,0,37,12,54220,11,0,,False,['astropy/io/ascii/rst.py'],3922,astropy__astropy-14182,84,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-14182-baseline-c82c9cb113,budget_exhausted,False,12,54220,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/astropy__astropy-14182/0/trajectory.jsonl,59699.585
1,n2d,0,0,25,8,30565,7,0,,False,['astropy/io/ascii/rst.py'],3922,astropy__astropy-14182,84,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-14182-n2d-847ea2758a,budget_exhausted,False,12,54317,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/astropy__astropy-14182/0/trajectory.jsonl,56918.469
1,baseline,0,0,10,3,7152,2,0,,False,['astropy/io/ascii/qdp.py'],1339,astropy__astropy-14365,50,0,3,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-14365-baseline-5e793580b9,budget_exhausted,False,3,7152,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/astropy__astropy-14365/0/trajectory.jsonl,17938.816
1,n2d,0,0,31,10,44844,9,0,,False,['astropy/io/ascii/qdp.py'],1339,astropy__astropy-14365,50,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-14365-n2d-40161c20e0,budget_exhausted,False,12,59368,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/astropy__astropy-14365/0/trajectory.jsonl,64699.799
1,baseline,0,0,34,11,48707,10,0,,False,['astropy/nddata/mixins/ndarithmetic.py'],547,astropy__astropy-14995,28,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-14995-baseline-bbdfd88d6d,budget_exhausted,False,12,57133,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/astropy__astropy-14995/0/trajectory.jsonl,54969.841
1,n2d,0,0,34,11,53343,10,0,,False,['astropy/nddata/mixins/ndarithmetic.py'],547,astropy__astropy-14995,28,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-astropy__astropy-14995-n2d-07c30e920a,budget_exhausted,False,12,62020,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/astropy__astropy-14995/0/trajectory.jsonl,55603.079
non_eligible,baseline,0,0,37,12,45156,11,0,,False,['django/contrib/auth/validators.py'],0,django__django-11099,3,0,12,0.0,False,[],0,0,0,0,name_to_definition_phase1-django__django-11099-baseline-3b104ccedf,budget_exhausted,False,12,45156,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/django__django-11099/0/trajectory.jsonl,55688.854
non_eligible,n2d,0,1,34,11,44867,10,0,,False,['django/contrib/auth/validators.py'],0,django__django-11099,3,1,12,0.14285714285714285,False,"[{'end_line': 10, 'file_path': 'django/contrib/auth/validators.py', 'start_line': 10}, {'end_line': 20, 'file_path': 'django/contrib/auth/validators.py', 'start_line': 20}]",0,0,0,0,name_to_definition_phase1-django__django-11099-n2d-ca034f6dd3,completed,False,11,50745,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/django__django-11099/0/trajectory.jsonl,57194.229
